tick_ms,target_speed,actual_speed,control_output,position,state,faults
1820,1000.000000,1100.075439,16.707909,295.307007,RUNNING,0x00000000
1830,1000.000000,1094.753418,16.679443,306.254547,RUNNING,0x00000000
1840,1000.000000,1089.548218,16.689875,317.150024,RUNNING,0x00000000
1850,1000.000000,1084.488525,16.731331,327.994904,RUNNING,0x00000000
1860,1000.000000,1079.595947,16.797188,338.790863,RUNNING,0x00000000
1870,1000.000000,1074.885864,16.881893,349.539734,RUNNING,0x00000000
1880,1000.000000,1070.369019,16.980848,360.243439,RUNNING,0x00000000
1890,1000.000000,1066.051880,17.090191,370.903961,RUNNING,0x00000000
1900,1000.000000,1061.937622,17.206757,381.523346,RUNNING,0x00000000
1910,1000.000000,1058.026855,17.327946,392.103607,RUNNING,0x00000000
1920,1000.000000,1054.317993,17.451616,402.646790,RUNNING,0x00000000
1930,1000.000000,1050.807617,17.576031,413.154877,RUNNING,0x00000000
1940,1000.000000,1047.491333,17.699821,423.629791,RUNNING,0x00000000
1950,1000.000000,1044.363403,17.821840,434.073425,RUNNING,0x00000000
1960,1000.000000,1041.417358,17.941235,444.487610,RUNNING,0x00000000
1970,1000.000000,1038.646362,18.057350,454.874084,RUNNING,0x00000000
1980,1000.000000,1036.043091,18.169666,465.234528,RUNNING,0x00000000
1990,1000.000000,1033.600098,18.277822,475.570526,RUNNING,0x00000000
2000,1000.000000,1031.309692,18.381561,485.883636,RUNNING,0x00000000
2010,1000.000000,1029.164185,18.480738,496.175293,RUNNING,0x00000000
2020,1000.000000,1027.156128,18.575287,506.446869,RUNNING,0x00000000
2030,1000.000000,1025.278198,18.665176,516.699646,RUNNING,0x00000000
2040,1000.000000,1023.523071,18.750422,526.934875,RUNNING,0x00000000
2050,1000.000000,1021.883728,18.831112,537.153687,RUNNING,0x00000000
2060,1000.000000,1020.353394,18.907356,547.357239,RUNNING,0x00000000
2070,1000.000000,1018.925598,18.979284,557.546509,RUNNING,0x00000000
2080,1000.000000,1017.594116,19.047029,567.722473,RUNNING,0x00000000
2090,1000.000000,1016.352966,19.110756,577.885986,RUNNING,0x00000000
2100,1000.000000,1015.196533,19.170631,588.037964,RUNNING,0x00000000
2110,1000.000000,1014.119446,19.226824,598.179138,RUNNING,0x00000000
2120,1000.000000,1013.116577,19.279505,608.310303,RUNNING,0x00000000
2130,1000.000000,1012.183105,19.328854,618.432129,RUNNING,0x00000000
2140,1000.000000,1011.314514,19.375048,628.545288,RUNNING,0x00000000
2150,1000.000000,1010.506470,19.418247,638.650330,RUNNING,0x00000000
2160,1000.000000,1009.754944,19.458632,648.747864,RUNNING,0x00000000
2170,1000.000000,1009.056213,19.496357,658.838440,RUNNING,0x00000000
2180,1000.000000,1008.406677,19.531565,668.922485,RUNNING,0x00000000
2190,1000.000000,1007.802979,19.564415,679.000488,RUNNING,0x00000000
2200,1000.000000,1007.241943,19.595053,689.072937,RUNNING,0x00000000
2210,1000.000000,1006.720703,19.623617,699.140137,RUNNING,0x00000000
2220,1000.000000,1006.236511,19.650234,709.202515,RUNNING,0x00000000
2230,1000.000000,1005.786804,19.675024,719.260376,RUNNING,0x00000000
2240,1000.000000,1005.369141,19.698103,729.314087,RUNNING,0x00000000
2250,1000.000000,1004.981323,19.719589,739.363892,RUNNING,0x00000000
2260,1000.000000,1004.621277,19.739584,749.410095,RUNNING,0x00000000
2270,1000.000000,1004.287048,19.758181,759.452942,RUNNING,0x00000000
2280,1000.000000,1003.976807,19.775471,769.492737,RUNNING,0x00000000
2290,1000.000000,1003.688843,19.791546,779.529602,RUNNING,0x00000000
2300,1000.000000,1003.421570,19.806492,789.563843,RUNNING,0x00000000
2310,1000.000000,1003.173523,19.820385,799.595581,RUNNING,0x00000000
2320,1000.000000,1002.943359,19.833300,809.625000,RUNNING,0x00000000
2330,1000.000000,1002.729797,19.845295,819.652283,RUNNING,0x00000000
2340,1000.000000,1002.531616,19.856438,829.677612,RUNNING,0x00000000
2350,1000.000000,1002.347778,19.866795,839.701111,RUNNING,0x00000000
2360,1000.000000,1002.177246,19.876408,849.722900,RUNNING,0x00000000
2370,1000.000000,1002.019043,19.885330,859.743103,RUNNING,0x00000000
2380,1000.000000,1001.872253,19.893616,869.761841,RUNNING,0x00000000
2390,1000.000000,1001.736145,19.901316,879.779175,RUNNING,0x00000000
2400,1000.000000,1001.609863,19.908455,889.795288,RUNNING,0x00000000
2410,1000.000000,1001.492737,19.915087,899.810242,RUNNING,0x00000000
2420,1000.000000,1001.384155,19.921244,909.824097,RUNNING,0x00000000
2430,1000.000000,1001.283447,19.926947,919.836914,RUNNING,0x00000000
2440,1000.000000,1001.190002,19.932240,929.848816,RUNNING,0x00000000
2450,1000.000000,1001.103333,19.937159,939.859863,RUNNING,0x00000000
2460,1000.000000,1001.023010,19.941725,949.870117,RUNNING,0x00000000
2470,1000.000000,1000.948486,19.945953,959.879578,RUNNING,0x00000000
2480,1000.000000,1000.879395,19.949883,969.888367,RUNNING,0x00000000
2490,1000.000000,1000.815308,19.953524,979.896545,RUNNING,0x00000000
2500,1000.000000,1000.755920,19.956905,989.904114,RUNNING,0x00000000
2510,1000.000000,1000.700867,19.960035,999.911133,RUNNING,0x00000000
2520,1000.000000,1000.649780,19.962936,1009.917603,RUNNING,0x00000000
2530,1000.000000,1000.602417,19.965633,1019.923645,RUNNING,0x00000000
2540,1000.000000,1000.558533,19.968136,1029.929199,RUNNING,0x00000000
2550,1000.000000,1000.517822,19.970449,1039.934326,RUNNING,0x00000000
2560,1000.000000,1000.480042,19.972599,1049.939087,RUNNING,0x00000000
2570,1000.000000,1000.445068,19.974600,1059.943481,RUNNING,0x00000000
2580,1000.000000,1000.412598,19.976444,1069.947632,RUNNING,0x00000000
2590,1000.000000,1000.382507,19.978163,1079.951416,RUNNING,0x00000000
2600,1000.000000,1000.354614,19.979755,1089.954956,RUNNING,0x00000000
2610,1000.000000,1000.328735,19.981230,1099.958252,RUNNING,0x00000000
2620,1000.000000,1000.304749,19.982601,1109.961304,RUNNING,0x00000000
2630,1000.000000,1000.282532,19.983870,1119.964111,RUNNING,0x00000000
2640,1000.000000,1000.261902,19.985044,1129.966675,RUNNING,0x00000000
2650,1000.000000,1000.242798,19.986139,1139.969116,RUNNING,0x00000000
2660,1000.000000,1000.225098,19.987150,1149.971313,RUNNING,0x00000000
2670,1000.000000,1000.208679,19.988085,1159.973389,RUNNING,0x00000000
2680,1000.000000,1000.193481,19.988955,1169.975342,RUNNING,0x00000000
2690,1000.000000,1000.179382,19.989756,1179.977173,RUNNING,0x00000000
2700,1000.000000,1000.166321,19.990499,1189.978882,RUNNING,0x00000000
2710,1000.000000,1000.154175,19.991188,1199.980469,RUNNING,0x00000000
2720,1000.000000,1000.142944,19.991833,1209.981934,RUNNING,0x00000000
2730,1000.000000,1000.132507,19.992426,1219.983276,RUNNING,0x00000000
2740,1000.000000,1000.122864,19.992979,1229.984497,RUNNING,0x00000000
2750,1000.000000,1000.113892,19.993486,1239.985596,RUNNING,0x00000000
2760,1000.000000,1000.105591,19.993963,1249.986694,RUNNING,0x00000000
2770,1000.000000,1000.097900,19.994400,1259.987671,RUNNING,0x00000000
2780,1000.000000,1000.090759,19.994806,1269.988525,RUNNING,0x00000000
2790,1000.000000,1000.084106,19.995184,1279.989380,RUNNING,0x00000000
2800,1000.000000,1000.077942,19.995541,1289.990112,RUNNING,0x00000000
2810,1000.000000,1000.072266,19.995869,1299.990845,RUNNING,0x00000000
2820,1000.000000,1000.067017,19.996168,1309.991455,RUNNING,0x00000000
2830,1000.000000,1000.062134,19.996445,1319.992065,RUNNING,0x00000000
2840,1000.000000,1000.057617,19.996700,1329.992676,RUNNING,0x00000000
2850,1000.000000,1000.053406,19.996939,1339.993164,RUNNING,0x00000000
2860,1000.000000,1000.049500,19.997162,1349.993652,RUNNING,0x00000000
2870,1000.000000,1000.045898,19.997370,1359.994141,RUNNING,0x00000000
2880,1000.000000,1000.042542,19.997557,1369.994507,RUNNING,0x00000000
2890,1000.000000,1000.039429,19.997736,1379.994873,RUNNING,0x00000000
2900,1000.000000,1000.036560,19.997902,1389.995239,RUNNING,0x00000000
2910,1000.000000,1000.033875,19.998053,1399.995605,RUNNING,0x00000000
2920,1000.000000,1000.031372,19.998196,1409.995972,RUNNING,0x00000000
2930,1000.000000,1000.029053,19.998333,1419.996216,RUNNING,0x00000000
2940,1000.000000,1000.026917,19.998461,1429.996460,RUNNING,0x00000000
2950,1000.000000,1000.024963,19.998577,1439.996704,RUNNING,0x00000000
2960,1000.000000,1000.023132,19.998678,1449.996948,RUNNING,0x00000000
2970,1000.000000,1000.021423,19.998777,1459.997192,RUNNING,0x00000000
2980,1000.000000,1000.019836,19.998871,1469.997437,RUNNING,0x00000000
2990,1000.000000,1000.018372,19.998959,1479.997681,RUNNING,0x00000000
3000,1000.000000,1000.017029,19.999039,1489.997803,RUNNING,0x00000000
3010,1000.000000,1000.015808,19.999111,1499.997925,RUNNING,0x00000000
3020,1000.000000,1000.014648,19.999172,1509.998047,RUNNING,0x00000000
3030,1000.000000,1000.013611,19.999235,1519.998169,RUNNING,0x00000000
3040,1000.000000,1000.012634,19.999287,1529.998291,RUNNING,0x00000000
3050,1000.000000,1000.011719,19.999336,1539.998413,RUNNING,0x00000000
3060,1000.000000,1000.010864,19.999384,1549.998535,RUNNING,0x00000000
3070,1000.000000,1000.010071,19.999430,1559.998657,RUNNING,0x00000000
3080,1000.000000,1000.009338,19.999472,1569.998779,RUNNING,0x00000000
3090,1000.000000,1000.008667,19.999510,1579.998901,RUNNING,0x00000000
3100,1000.000000,1000.008057,19.999544,1589.999023,RUNNING,0x00000000
3110,1000.000000,1000.007446,19.999575,1599.999146,RUNNING,0x00000000
